ID,Kategori,Link
1,Rumah &amp; Dapur > Peralatan &amp; Perawatan Kain > Deterjen,https://www.alfacart.com/product/so-klin-liquid-softergent-750ml-53829
2,Rumah &amp; Dapur > Peralatan &amp; Perawatan Kain > Deterjen,https://www.alfacart.com/product/attack-jaz-1-deterjen-semerbak-cinta-850g-53843
